review,sentiment,length_cat
I have a 55&#34; Samsung LED and was trying to run optical. It was not working out until I Saw this and man I am glad I ordered. Came the next day and plugged in with no worries. Looks just like it came with the TV. Thank you!,2,1
"Didn't do what I thought it it did, was a waste of time. So now I must look for something that works",0,0
"The first time I plugged this into my Surface Pro, it wigged out and wouldn't read consistently, kept on mounting and dismounting.  Formatted it and the issue hasn't happened again, but it makes me a bit skeptical about the protection of the data I store on it, so I haven't used it heavily.  An old Geek Squad USB drive I got from Best Buy is way more reliable.  Not a good first impression of 3.0 USB keys if they can't even manage to stay stable on the latest hardware.I will try again in a few days and see if it was just a fluke.  For now I post as a warning only.  YMMV.",1,2
It's a good SD card. Not much else to say about it. It works. It holds data. Transfer rates are decent. It was cheap. That's about it.,2,0
I give this product a 3 star because the color of these stylus comes of after a short period of time,1,0
"This charger was charging fine for five months.  Slow, but charging.  Now, without any abuse to this charger it is not charging and other than the red led light on the body, it is dead.  Surely I would expect a longer useful life than this.  I must say that I am disappointed.  I have written to the seller and will update this post if I receive a reply.Update: As of today May 4th I have not received a reply from the seller.",0,2
My Linksys EA4500 would drop wireless connections and need rebooting at least every couple of days. I finally had enough and sprung for this Netgear R6300. I am happy to report that I haven't had to reboot yet (over a month). I thought that I would get stronger signal strength with this unit but did not. But to my amazement I have seen a 10MB  speed improvement with Speedtest results!!! I have over 12 wireless clients and they all work great. The web management on this device is much better and more complete than Linksys. I hated that CiscoConnect as well.,2,2
"Being slightly color blind, previously I was never able to be completely sure I had the right pairing for Eithernet cables.  Now I can have my wife check the protruding cables for the right color combinations.  Would order again if more are neded.",2,1
"it took me a long time to cave and spring for this pricey blender.  but its worth it!  this thing is a powerhouse.  i make non stop smoothies all summer long with whole fruits and vegetables that are beyond delicious and super healthy.  the only thing i don't love about this model is how tall it is.  it simply doesn't fit on a counter thats under the cabinets.  the next blender i buy will be shorter, but another vitamix it will be!",2,2
it is a big bottle but it is expenpenve stillI would get it again I guess it good to have a big bottle,1,0
Great product and works well.  Only wish it was metal even though the plastic seems pretty strong.  Easy to install.,2,0
"I ordered this last November on amazon.com and it was priced at $159.99 then. Everything seemed to be perfect and I was happy, until two weeks ago, when the wire near the end of the earphone's plug-in started to malfunction with an intermittent on-and-off for the left earphone.  First, I have been very careful in terms of use, not abusing it in any way, especially with the wire. Secondly, I do use it almost every day, mostly in the morning when doing my morning exercise.  Now, I am not sure it's still under a guaranty, or to do some repair on my own.  In order to highlight this caution of mine, I give it only one star, even though it does worthy a 4 start rating.----------This is a follow up message, since it's related to the same complaint.The previous note was written in August 2008, and the 2nd time the wire broke was about 2 months ago, i.e., Feb. 2009.Right after I wrote the first message, I called the company (somewhere in southern California) and they mailed me a replacement wire, and that was very nice, but...After only 6 months, the wire became defective again. And this time, it's faster than the 1st time which lasted for more than 8 months.I am not sure the warranty period is more than 12 months, and neither a replacement could be purchased with a reasonable cost.The things I noticed is that the wire became very hard very quickly during cold weather, but the same thing could be happen in warmer weather, which I'm not sure.  If it's true that it wears out (or hardens) quickly in cold weather, those of you living further North should be even more cautious about this.Although the sound quality is a little bit better than the earphone coming with an iPod, but I use it mainly for its sound isolation when I am walking on a street or sitting on an airplane during a 12-13 hour trip.",0,2
"While these are very functional in the kitchen, I wanted them to cut through the joints of whole chickens and I don't find they work well for that. Maybe that is a problem with me instead of the scissors though. However, all the other kitchen tasks I have used them for -- they function great.",1,1
"A friend of mine had an older version of the same 500 Gb Passport and we've tested it on my DVD players' USB ports and it read as easily as a giant pen-drive (flash drive). I was excited at the prospect of using this drive and purchased 3 units of this newer model to myself and friends, I was aiming to replace an older and bulkier 500 Gb external HD that I had set up months before. I knew that there could be issues with the HD's formatting, it had to be FAT32 given that, I was told, the software on the USB ports usually does not read the newer NTFS (?) formatting. I have been struggling ever since to find a proper FAT32 for this device and, my last hope is to partition the 500 Gb into less than 32 Gb ""sub-drives"" and format each FAT32. This is ridiculous and I've been waiting for about a week now for some support from WD. This drive seems to work fine as an external HD for PCs and laptops, but that is not how I planned to use it, so I am pretty disappointed. Since I get no response from WD, I am also trying specialized forums for some hints, given that some people use external HDs to play pictures and movies on their TVs or DVD players nowadays. I may review my comments if WD helps out, though. In the meantime, I am here frustrated with 3 of these units without being able to use them as I intended.An update:After many emails exchanged with WD's tech support, as I expected, WD could not solve my problem and has not tried to send me the old FAT32 format used on the ""older"" passport model (which I should have bought instead, perhaps...) and one that's still being sold.WD just said that they've regretted not being able to help, given that the device was not intended to be used on a DVD player...I am keeping the 2-star grading, because I am having to spend a lot of time trying to find a solution on my own, given WD's predictably bureaucratic and lame ""response"".",0,2
"not worth your money. feels like windows 98 , slow, graphics are bad . all in all it is a primitive product",0,0
"I was looking for something to chop onions with, and was about to buy another 1 cup electric chopper.  They are easy to use, but the onions are sometimes pulverized, and I didn't like that.So, I was shopping my local Goodwill Store, when I saw this item used in it's original box.  I took it out, and noticed there was some food residue on the small grid blades, but I knew that would be easy to clean.  I took it home, cleaned it thoroughly, and put it to work.  I cut the onions in half and started dicing.  It takes a little oomph to get the job done, but it is so much easier than crying over your onions when chopping them with a knife.  I also bought some red bell peppers from the grocery store while they were on sale - $1 each.  I started chopping them, by first cutting them up into pieces that fit in the chopper.  I soon realized that the skin side of the pepper should be up and the soft side down, to get a good chopping action, otherwise the pepper sticks in the blades and you have to work it out of the blades.So far, so good.  Two bell peppers chopped will fill up a quart sized jar.  First, though I froze them on a tray in the freezer for an hour, took them out, and put them in the jars.  They don't stick together that way.  I have red pepper at the ready for stir frys and cooking with meats and poultry dishes.  I love it!  I was buying frozen bags of pepper and onion in the freezer section, but now I can save quite a bit by using this device.I will say, that the chopping action does require some force, but as long as this thing lasts, I know I will get my money's worth out of it.  I think after a while, it might break, but by then, I will probably want another one because it is so easy to clean and use.",2,2
I am not sure if it is working 100 percent or not because i have it wired to my ps3. I wanted to wire the ps3 because when on wireless I would have some buffering when watching something on one of the apps. My desktop is wired and worked with no buffering so I thought I would buy this to speed up the app on the ps3. The first few weeks it seemed to be alot faster but lately there is some buffering which is strange. The cable might not be the fastest but seems to be ok.,1,2
"it works as it should. solid, secure and essential. just get it and quit reading already. potato swing dog pants",2,0
The scroll wheel button is very soft and as a result I get to click the middle button quite often while scrolling with the scroll wheel.Very annoying!Everything else works fine with a Dell D620 laptop.,1,1
"Powerful antenna.  Currently, I have it inside the house&#8230;  live in a condo, not allowed to have anything mounted outside!",2,0
"I bought this charger to replace my AT&T; charger that simply couldn't provide enough juice to my SGS3 on long trips where I used the GPS feature. This charger is significantly faster, at least twice as powerful. This was an expected result as I have always had excellent experiences using Motorola's chargers.I took one star off because the LED is just way too bright out of the box for driving at night. Fortunately, they allowed the ""M"" circular window to be easily removed by popping out the bottom ring (look for a screwdriver indent). After removing the window, the LED is easily accessed, so I applied some white-out to the LED, which successfully lowered the light output to a tolerable level.The cord and connector seem to be high quality. The cord comes with a small hook to keep unwanted extra cord out of the way - a nice added touch.Very pleased with this charger so far overall. I have owned plenty of terrible microusb chargers and this one gets the job done right.",2,2
"I have really weak, peeling, and soft nails. My friend swears by this nail polish and says it makes her nails hard and therefore able to grow. So I gave it a try and after using about half about I saw no improvements. I guess it just depends on the person. However I tried Nailtiques formula 2 after, and that worked great on my nails. In less than a week they were harder than ever.",0,1
"I received two of these chargers from the company to test and review.  Of them one worked perfectly, but the other unit was finicky and had to be jiggled to maintain power, which was a little disconcerting.The charger that worked did a great job charging an iPhone 4, an iPhone 4S, an iPhone 5, and a Sony CyberShot TX10 digital camera.  One of the two USB ports, one is supposed to be tailored to Apple devices and offer a faster charge time, but I didn't notice a difference.  While charging the unit emits a slight humming noise.The charger is decently constructed and finished in a rubberized texture.  The power prongs fold up into the charger for portability, and seem well made.  There is a blue LED power indicator light on the front of the unit.All in all...if you get one that works well, you'll be very pleased.01/03/2013 Update:  I let my co-worker charge her Blackberry Torch on this charger from time to time and she says it takes longer than the Blackberry charger, and the battery seems to drain more quickly as well.(I received a complimentary sample of this product from the manufacturer to review.)",1,2
"I bought this one because of its small size and nice shape hoping to be able to bake smaller (good looking) cakes.This form is limited by design because of the high corner to cake ratio there are so many places the cake can stick to.I hoped the non-stick material will help here, but it is worse than useless.I got more than 10 forms at home and this one is the worst by far (while being one of the most expensive)I got the bigger Nordic Ware Platinum Series Nonstick Bundt and it works so much better.You can buy the 2 forms combo [...] for the same price of this Kaiser product and it actually works, just stay away from kaiser forms.",0,2
"I sometimes have to troubleshoot linux / windows machines, and troubeshooting a network card is not my easy so if I can make it connect with this, guess what I reccomend the user buys if they want to keep using that laptop....... a panda wireless USB adapter, pluse they have support if you need it.",2,1
Do not like this item.  The mat is too thin and does not lay flat.  The end seem to curl.,0,0
"The connection is terrible. After a few megabytes of transfer, the SSD just stop working and you have to replug it in order to restart the process ( I tested on Ubuntu, Mac and Windows and the same problem happened in all 3 OSs ). Because of that I had to replug the SSD more than 10 times in the first few hours of use and even with that I was unable to backup my 128 SSD !I lost my money.",0,2
"First of all, don't take my word on this, follow up by going to broadbandreports.com and search on DWL-G810.  The security issue is that this device WILL NOT work unless you are broadcasting the SSID of your wireless network.  This applies to the shipping firmware 2.0 and the newer firmware 2.12.  This is the deal killer for me since I don't want to expose my network's SSID.  I'm actually quite pissed off at DLINK over this.By contrast, DLINK's &quot;range extender&quot; (aka wireless repeater) DWL-G800AP actually WORKS with SSID broadcast disabled, so one can see that DLINK could overcome this security issue.The remaining issues are these:(1) It won't support DHCP from your router to any PC hooked up to the bridge.  You might think, hey, I'll configure my PC for DHCP and it will get the IP info from the router through the bridge connection.  Wrong!  It won't work.(2) The router itself does not work for obtaining DHCP from the router EVEN THOUGH IT HAS THIS AS AN OPTION.  This is outrageous and completely unacceptable.  Confirmed on BroadbandReports.com and by DLINK's Level 2 support.Bottom line is that, while it works, it's entirely manual in the configuration and the SSID broadcast requirement is a security vulnerability not worth enduring.",0,2
"I was very excited to get the package.  The product is well made.  It took no time to start this toy with the string.  Then I was a little disappointed with the power.  I do not feel I can get any workout from it.It is good for therapy, but not for regular strength training. So don't expect this little toy can replace the weights.  It is interesting though.  Good price for what you got.",1,1
"Great case for your Nano! The silicone provides excellent protection and slides in and out of the plastic case with ease. The case attaches firmly to your clothes - has not slipped of once while running, etc.Highly recommend!",2,1
"I upgraded to the new iMac which does not have a Superdrive, I rarely need it, but it's necessary  now especially for digital download movies for iTunes when you guy a DVD/Blu-ray, works great and since it's a Mac it auto detects and works within seconds, no set up",2,1
I've had these headsets for 6 months with VERY little use.  The power switch is going out.  There is a crackling sound and the right channel goes out.  I need to send these back on warranty. The headphones also get interference from my Cell phone. I use an HTC 4g.  The sound is good. Not great. The sound isolation is GREAT!Update June 2013The head phones still work.  The power button is still an issue but I can mess with it to get the head phones working.  A clip broke off on the side and now the adjustment for head size does not work well.  When on the electronics work and the headphones still sound good.,0,2
"Purchased this around 2 years ago for a mid-tower.  Never used it to move the tower more than a foot or so on a tile floor (wanted to make it easy to clean around and under the tower).  After 6 months, one of the wheel wells crumbled and fell apart; I duct-taped it together - a few months later another wheel well collapsed and I duct-taped that one back together also.  In less than a year all 4 corners and wheel wells had crumbled apart and/or collapsed to the point where this stand was useless. Very, very surprised and disappointed as this looked so sturdy - turned out that although the upper surface is well-designed, the underneath is not - wheel wells are too shallow, thin and lack reinforcement - also apparently made with extremely low-grade, inferior and brittle plastics judging from how this crumbled apart.  It's a real shame.  Buy something else.",0,2
"I have these aprons in black and white and use an embroidery machine to customize them. Those aprons were of excellent quality and feel, and are a cotton polyester blend. They have no pocket.I then ordered them in brown. They are very cheap feeling 100% polyester and have a dopey little pocket on one side towards the top that might hold a couple of pens but nothing more. I bought them for a custom job and did not have time to return them and order something else, and wound up removing the pocket and embroidering over the irregular spots that were left.  I am not happy with the brown aprons AT ALL. I am not sure if they sent the wrong thing by mistake, or if the product quality has just taken a dive and the description hasn't been updated yet.",0,2
"It's a sturdy tripod, but is cheaply made.  I got problems with it now.  The lever for tilt mechanism has to be unscrewed and removed for storage in the bag.  When removing it, it pulled out the barring in side as well.  I suggest go with manfrotto, gitzo, or any other well known brands.",0,1
"I bought this for use with my Windows 8 Laptop, which for some odd reason didn't include Bluetooth.  It's very small so it doesn't get in the way and works great with my Bluetooth mouse.",2,1
"I have got to start reading owners' reviews more closely.  These cups are small, thin and even with my normal size hands I have difficulty getting two fingers into the very small handle.  Camping cup?  No.  Childs playhouse cup?  Maybe, although made in china enamelware is not the best drinking product for my grandchildren.  Notice how large the display image seems, be ashamed Amazon.",0,1
"This grater is the best one to use if you want fine-ish grating of hard cheeses like parmesan and hard romano. The larger grater, recommended by America's Test Kitchen, is best for bulk grating softer cheese and when larger shreds are needed, like for making fondue or a souflee'.",2,1
ordered this per exact part number printed on the old battery and published on their web site .... all specs matched. When I got the replacement battery it was much bigger physically than the original. Hence it would not fit the device and I wasted my money. Granted it was only $4 and change but I rile at the deception. I will NEVER buy from this company again and will give them plenty of free advertising (in the form of &#34;run from them&#34;).,0,2
"I've had my Nostalgia hot dog cooker for about a year now.  I love how it cooks my Nathan's dogs.  Depending on how fast you want them done, you can adjust the heat from very low to very high.  I like my dogs very well done, close to burned, and this cooker does the job.  One thing I don't use and find useless is the bun warmer. It it too high above the heating element to do a good job of heating the buns, so I just leave it off completely.  Another thing to be careful about is not to cover the heating element while cooking the hot dogs.  I put a piece of aluminum foil over my dogs to keep my cats from stealing the dogs off the rollers. Glad I checked in time because the heat from the foil started to melt the plastic housing. I use my cooker at least twice a week, sometimes more.  I love hot dogs and this cooker does the best job other than a charcoal grill.",2,2
Started having blue screen computer faults just about 8 weeks after I bought this.  Spent several hours first trying to update drivers and repair drives.  Then got a free online bluescreen fault tool which let me to suspect the memory.  Downloaded memtest86 and ran it to find the new memory card is faulty.  It is several weeks past the return period but I understand Amazon will provide a partial refund at this point.  Seems fair enough.  Faults happen.,1,1
"I had high hopes for this one...  I have had an Olympus C-2100UZ for about 5 years and it has been a great camera, but I was ready to upgrade to a true digital SLR.  I have had very good 35mm SLR cameras for a couple decades and been a serious armature photographer.This camera disappointed me.  It sure has an amazing number of features packed into it, but in the end a good camera boils down to photo quality, period, and the photo quality I get from this camera is not as good as I get from my C-2100UZ (a long ago deprecated 2MP model).The E-500 does best outside with bright light, but inside it has serious focus and exposure problems.  The photo quality is more on par with an old 110mm camera, or a Polaroid.  They are just not at all crisp and clear as you would expect from a camera of this caliber.  The photos are either grainy or out of focus.  It uses the flash to create light for the auto-focus in low-light scenarios, which drives human subjects insane, and must just not really work very well.  I tried manual focus too and still it just doesn't take clear pictures inside.Most professional reviews (e.g. PC Magazine) seem to echo the same...that this camera is okay, but just not quire there yet.I returned this one and ordered a Nikon D50.  A lot more 3rd party lens options are available for it because it's built on existing standards.  Maybe the problem with the E-500 is the new ""four thirds"" lens system...and if so maybe they will eventually get that right, but for now, and for this kind of money, I suggest you buy the Nikon, or wait for the next generation Olympus DSLR but then still read the reviews to make sure they got it right.",1,2
"Remember the movie Annie Hall and her black soap? I was always intrigued about it and I think this may well be it. It cleans very well, however.... it does smell like a fire pit. I bought it after reading it helps eczema and psoriasis on the face, and for fungal/yeast problems in the skin, like melasma.Some people swear by it... I'm not sure if I'll be swearing BY it, or AT it, just yet. I will say, it does get all the dried up skin and oil off and leaves the skin feeling very clean, tight and smooth.Four stars for performance... two for the fragrance.",1,2
I have tried several other types of cooling units.  I have found this one to be the best.  The angled platform provides you with a nice viewing angle; especially handy when watching DVDs.It is quiet and light weight.,2,1
"Add ~750ml of water, set to 175*F.  Turn on.By the time the heater turns off and the temperature stabilizes, the temp will be just under 190*F (generally around 187).This is measured with a Thermapen, ensuring that the probe does not touch the sides or bottom of the kettle (just suspended in water).I'll be returning this for the Bona Vita model which uses a PID controller to properly hit and maintain temperature.",0,1
May have many good reviews but I'll stay with my Cuisinart Griller.I just thought that I could replace my aging Cuisinart which spills grease at the back side.  But ...!The Cuisinart is still better than this.  At least for my use.,1,1
"I purchased this tripod for a hand-held video camera.  The lightweight aluminum structure does not seem sturdy enough for video filming, but the weight anchor makes the tripod stable.  Although it does not advertise to have a fluid panhead, the adjustable head has the proper flexibility and control for the camcorder to rotate freely and fluidly in all directions (360 degrees horizontally and 180 degrees vertically).  The platform and the quick-release mechanism are rather basic and delicate.  The bolt knob underneath the platform is difficult to lift and turn.  The bubble leveler on the platform is one-dimensional and hard to read.  Nevertheless, the tripod works well with the small camcorder for occasional casual yet quality video filming.",2,2
"I got the card after reading many reviews here. I got the card, I popped it into my Canon Camcorder, recorded material, played back on the camera no problem. Once I took it out to copy to my computer, popped it into my SD card reader - and it just DIED. I cant even read the card. I cant record on it, computer doesnt recognize it, camcorder doesnt recognize it, camera shows (ERROR), computer doesnt show anything (like card wasnt even there), camcorder shows (Please check your card). Overall - I lost everything!!!!!!!!!!!!!  Card is junk !!!!!! Stick to Kingston or get a smaller 16GB card.",0,2
"I should have paid more attention and given more credibility to other reviewers with regard to Windows 98 SE, older computers and WPA.  I wanted this card so I could use my older laptop with Windows 98 SE with my newer wifi with WPA security.  Not only would it not install, now I realize I would have been stuck with just WEP anyway...  no WPA.  Thank goodness it wasn't that expensive.",0,1
"This review is for:Audio Technica ATHM40FS Precision StudioPhonesFirst of all right out of the package they look expensive. They do not look cheaply made and the matte black coloring and shape of these headphones is pleasing to the eye.From the top down:The headband is approximately two inches wide and covered even on the top with some type of soft to the touch material. The underside of the headband is very well padded and the padding extends almost down to the hinge where the earpieces are connected to the headpiece. The padding is nice and squishy, but not so much that you can feel the hardness underneath. The thickness of the padding is approximately 3/4 of an inch thick.These earphones are very light, I've been wearing them all day with no neck fatigue, or headache from too much pressure around the ears.The tension of the headband is enough to hold the earphones on my head, but they rest comfortably without pressure around my ears.The hinges where the earpieces meet the body are made from some type of heavy duty, hard plastic(I don't know the technical name for it). The hinges are nice and thick. They look well made and able to take a lot of use.The earpieces:The shape is sort of an elongated oval. They are lined all the way around by padding that is approximately 3/4 of an inch thick, and one inch wide, and they're covered by the same velvety soft material as the headband padding. This padding feels wonderful against the skin. The padding that touches the skin is flattened to fit against the head better, giving these headphones excellent sound squelching qualities.The inside of each earpiece is oval in shape and the inside depth is between 1/2 and inch and 3/4 of an inch. The inside wells that hold the speakers are covered with some type of soft fabric as well.The holes under the fabric where the speakers are located are shifted slightly toward the back side of the ear pieces.The outside housing is a some type of matte black high density plastic, and the R and L on each one is molded into the plastic rather than being painted on so that it won't rub off eventually.The hinges:Move smoothly and easily. There are two sets of them. One allows the earpieces to be rotated out when they're being worn, so outside noises or conversation can be heard without taking them completely off. They're made of matte black high density plastic also. They're nice and thick, and the part that attaches the earpieces to the headband meets the headband smoothly. If you didn't know the seam was there, you'd probably miss it. Each earpiece can be rotated out to the front approximately 180 degrees, and to the back considerably less.The other set of hinges are the same color and material, and they fit sleekly against the earpieces in their own grooves, giving the earpieces a smooth appearance when on the head. There is nothing sticking out, and it's very aesthetic. When they're on the head the hinges and earpieces look like they're all one piece. I don't know who designed them, but whoever it is they're smart, LOL.The Cord:Runs from the left earpiece, and is not reinforced at the point it meets the earpiece. The cord is very long and has a nice thickness to it. It's not flimsy at all. If you don't need the length, I suggest tying it up with a zip it, or something similar, to keep it out of the way. I like the length personally. If you're like me and you forget you're wearing these headphones and get out of your chair to get something it doesn't pull everything off the shelf:DThe cord terminates in a 1/4 stereo plug, and is reinforced at the back end of the plug with a flexible metal spring that's approximately an inch long. The plug itself is textured for easy gripping.If you're going to use these headphones for your: computer, tv, portable CD player or whatever. You're going to need to buy a 3.5 mm adapter because these headphones don't come with one in the box, like some of the other Audio Tecnica headphones.But it's easy to find an adpater, and not much hassle. You can buy adapter kits. There is an adapter kit with four different sizes of adapters, right here on Amazon for 5.00 or so. Sound and audio stores should have them as well as electronics stores, I think even Wally World has them. Radio Shack has a kit that's a little different from the one here on Amazon, but it still has four different sized adapters. Just make sure you get a stereo to stereo adapter, not stereo to mono adapter.Isolation:These really do a good job. When I'm listening to music I don't hear anything else unless the sound is extremely loud.The sound:The sound of music through these is excellent. I can hear everything the way it was meant to be heard. Nothing added or taken away. But listening pleasure is subjective. I really enjoy the music I hear through these headphones just playing MP3s on my computer without a fancy sound card on my computer. DVD movies sound very good also. The soundtracks sound great.The longer I listen the better music sounds through these headphones.The highs aren't sharp and grating, and the mid range is there, the lows are smooth and present. Nothing is muddy sounding to me. All the sounds are separated and discernible but not so sharply delineated that it picks the music to pieces with one drowning out the other. Everything is nicely balanced and flows together like music should. It sounds like I'm hearing a live performance. The bass is there, but it is NOT very pronounced and isn't the focus.I don't hear any distortion at a higher volume, but then again I can't stand very loud music, it hurts my ears. You don't have to turn these all the way up to hear decently. I'm listening to Illumination by Hemi- Sync right now and I've got my system volume turned up to 3/4 and Winamp volume is at 9%, and that's quite enough to enjoy the music. I can still hear everything very well with no interference from outside noise.The music accompanies the singer rather than drowning them out. If you enjoy the lyrics, like me, as much as the music, then these headphones are fantastic. The lyrics are very easy to understand,and the voice of the singer is perfectly presented.Meatloaf ""Life is a Lemon"" sounds heavenly through these, and so does Garth Brooks ""Friends in Low Places"". Pink Floyd sounds divine, and so does John Denver. Mozart sounds great too. PussyCat Dolls ""Don'tcha"" sounds just as good to me. Rammstein - Blade Theme (Techno Remix) sounds as good as all the rest. Roberta Flack is as close to blues as I've gotten yet, and she sounds amazing. Minnie Ripperton's ""Loving You"" Sounds good too. I haven't listened to anything jazzier. Pantera sounds good, and so do the Heavy Metal soundtracks( 1 and 2). I hope that gives you some idea about the range of music that sounds great with these headphones. Meditation music sounds great also.Summation:These are excellent quality headphones for the price. Someone put a lot of thought and effort into  designing these. I always look at the details, and if someone paid attention to those I know they care about their product.These headphones are light and comfortable on the head, and about the ears. They can be worn comfortably for extended periods of time without causing a headache. I believe they provide enough isolation, and outside sound dampening, to satisfy most music afficianados.If you're looking for very pronounced bass, don't buy these unless you want to adjust the the bass to your satisfaction on your music source.All in all I'm very pleased with these headphones, and I would buy them again. The price and the quality make this set of headphones an excellent buy.On a sidenote: The customer service people are very nice. I emailed the customer service department for the amplitude range on another set I was eyeballing which are also made by audio Technica. The frequency response of headphones means nothing if the amplitude is way out of whack. It took about a week for them to answer but he very nice fellow who answered sent me JPGs of the amplitude graphs for the set I asked about, and another set. I'm sure he probably had to hunt the graphs down and then make a file to attach it to the email he sent me. Now that is customer service! Kudos to Audio Technica for their customer service. And that was before the sale!The two sets were: Audio Technica ATH-A700 Closed-Back Dynamic Headphones With Double Air Damping and Audio Technica ATH-AD700 Open-air Dynamic Headphones.If you're interested the amplitude range on the ATH-AD700 was much more flat than the ATH-A700, with less variation overall.Alrighty then, that's all I can think of at the moment.I'm enjoying my music on these very same headphones while I'm typing away.",2,2
"The Neutrogena Wave Power Cleanser is a petite, battery-powered facial cleanser that can go into the shower with you (a real plus) and provides a light vibration and foaming action for your skin.My experience with ""the Wave"" was quite variable.  I absolutely love the shape and size (tiny enough to be comfortable and easy to use even for my very small hands) and the color (hot pink).  I dislike the fact that the pad must be discarded after a single use and that the extra pads provided in the starter kit do not come in a resealable pouch.  I keep my Wave in the shower--so where exactly do I keep an opened, unsealed bag of foaming cleanser heads where they won't get wet and yet will be convenient to take one off the wave and put on a fresh one every time I shower?  So far, I haven't found a good answer.All in all, it is a cute little product, but I can get equally good (and perhaps better) results using my Buf-Puf Gentle Facial Sponge - 1 ea, 2 Packs and a little soap.",1,2
"I have gone back and forth over the last few years over whether or not to buy a Keurig.  What finally tipped the scale is that I get up about 45 minutes before anyone else in my house so I would want a cup of coffee but by the time my husband got up or I had time to drink my 2nd cup, it would be scorched.So, I bought this since it seems to be the system that everyone has.  I also bought the little refillable K-cup filter so that I could use my own coffee grounds.  I used this over the weekend and returned it a few days later.  Bottom line...if you are a serious coffee drinker, this does not brew a decent cup of coffee.  Mainly, the highest temp setting is 192 and National Coffee Association recommends a brewing temp between 195 and 205.  Plus, the coffee is shooting out of the Keurig way too fast for more than fleeting contact with the coffee grounds.  Which all adds up to a weak cup of coffee.  Using two full TB of a dark roast coffee on the middle 8 oz settling still resulting in a mediocre cup of coffee.I was able to get an ok cup of coffee using a french roast/bod/robust K cup but I was definitely disappointed in the overall experience.My husband did a little research and we bought the Vue70 system by Keurig.  The temp range is much higher and you can choose different strengths of coffee.  There are also settings for Cocoa and Iced Coffee.  Plus it's a much sleeker design.  It is a bit more expensive but we were finally able to brew cups of (our own) coffee that tasted like they had been make in a coffee maker.I hate to give it 1 star but really, if you are used to good coffee at home you will be disappointed.",0,2
